Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors
Teacher- Infant/Toddler (Reggio Inspired),-1,"JOB Announcement**
Posting Date: 8/9/2018
Job Title: Reggio Inspired Teacher – Infant/Toddler
Job Hours: 40 hours/week (Non-Exempt)
Pay Rate: $20.99/hr
Job Site Location: 299 Dolores Street, San Francisco
Supervised by: Head Teacher
Holy Family Day Home is a 501(c) (3) organization whose mission is to provide affordable, early educational child care of the highest standard in a stable and nurturing environment, thereby offering the children of working families a sound foundation for lifelong development, continuing a tradition established by the Sisters of the Holy Family.
Scope of Work: To participate as part of the classroom teaching team with a goal of implementing a caring educational program for children ages 3 months to 3 years old. This position is part of a Continuity of Care plan that establishes primary relationships that support development and learning.
MINIMUM Qualifications :
24 ECE or Child Development (CD) Units, including core courses (child/human growth and development; child/family/community AND curriculum) and 3 Infant/Toddler units PLUS 16 General Education Units OR AA or higher in EDE/CD or related field with 3 units supervised field experience in ECE/CD setting.
Holds, or is eligible for a Teacher or Master Teacher Permit from the CCTC.
Must be willing to continue educational growth towards a Bachelors Degree.
Fingerprints clearance through Department of Justice for Child Abuse Index Check and Criminal Record Statement.
Ability to speak, read, and write the English Language fluently.
Knowledge and experience in working with children with special needs including social/emotional needs.
Knowledge of low-income and homeless issues for children and families preferred.
Knowledge of and sensitivity to the cultural background of the children and families being served.
Ability to relate to children and adults in a positive, respectful manner.
Ability to lift and/or carry children up to 50lbs.
Ability to supervise/work with a staff of varying educational and experiential backgrounds with sensitive leadership, maturity, and stability.
Bilingual in Spanish or Chinese dialects preferred.
Knowledge of CLASS, ITERS, DRDPs, Pyramid Model and NAEYC Best Practices
Roles and Responsibilities:
Professional ethics of confidentiality, discretion and good judgment.*
Work closely with other teaching/ staff in the development of a comprehensive children’s program in accordance with HFDH’s ECE philosophy, policy, and procedures.**
Provide individualized and small group instruction in order to adapt the curriculum to the needs and interests of each child.**
Assist in planning and implementing agency-sponsored family celebrations and classroom parent meetings.*
Leadership and Supervision:
Assume the role of Head Teacher when she/he is absent or out of the classroom.
Maintain written records and observations of Primary Care children, noting their development and behavior in all aspects of the program.
Assist in the interview and orientation process of new teachers.
Assist in creating a warm, nurturing, and respectful atmosphere for the children to be encouraged to learn and grow.
Participate in the planning and implementation of team and agency meetings, staff in-service trainings, ECE and supervisory courses and workshops for professional growth.
Communication:
Work cooperatively with parents, staff and third party consultants to meet the individual needs of children and their families
Maintain positive communication regarding Holy Family Day Home to parents, other staff members, and the surrounding community.
Meet regularly with administration, parents, teachers, and others regarding the developmental progress of children and interpretation of HFDH policies
Program Administration:
Enforce all Licensing Regulations set forth in the Manual of Policies and Procedures, under Child Care Center, including, but not limited to, ensuring that appropriate staff-child ratios are maintained and children are supervised at all times.
Maintain appropriate documentation on all children in the class, and on the material needs of the classroom for supplies and maintenance.
Report all injuries and other health concerns to the administration, and administer pediatric first-aid when necessary, and as mandated by state law, report any suspected child abuse.
Assist Site Supervisor and administration in all matters pertaining to the effective and efficient running of the childcare facility.
Please visit our website at www.holyfamilydayhome.org
Holy Family Day Home is an Equal Opportunity Employer.
Job Type: Full-time
Pay: $20.99 per hour
Language:
Spanish (Preferred)",5.0,"Holy Family Day Home
5.0","San Francisco, CA",-1,1 to 50 Employees,-1,Company - Private,-1,-1,$1 to $5 million (USD),-1
Construction Foreman / Fire Sprinkler,-1,"Compensation
$27 to $40 Hourly
Benefits Offered
Medical
Employment Type
Full-Time
Why Work Here?
“Great Boss, Flexible Work Schedule, Retirement Plan, Constant work, Great Work Environment, Competitive Pay, Medical Stipend”
We are seeking a Fire Sprinkler Fitter to join our team! The selected individual will install and repair both commercial and residential Fire Suppression System throughout the greater Marin County Area.
Responsibilities:
-Assemble and install commercial and residential Fire Suppression systems
-Work with General Contractor to find optimal ways to install systems
-Set up inspections and meet with local AHJ to make sure system meets all requirements
-Review blueprints and fire codes to determine optimal work procedures
-Maintain and repair commercial and residential fire sprinkler systems
-Prepare written change order forms for clients
-Adhere to safety policies and procedures
Qualifications:
-Ability to manage a crew
-Previous experience in Fire Suppression system install and maintenance/repair
-Quality Communication skills
-Ability to read blueprints and schematics
-Ability to handle physical workload
-Strong troubleshooting and critical thinking skill
-Must have valid California Drivers License
-Prefer a California Sprinkler Fitter Certification (certification holders will receive a signing bonus of $3,000, which shall be paid out in 6 month intervals over 3 years.)
-Reliable transportation
Todd Morris Fire Protection
About Todd Morris Fire Protection:
Todd Morris Fire Protection (TMFP) is a family tradition. Todd started working alongside his father at a very young age. He went on to successfully manage his father’s fire protection company for two decades. In 2012, Todd decided it was time to take his knowledge, expertise, and work ethic and turn it into a thriving, well-respected company. If your looking for steady work and somebody who isn't going to take you hard work for granted, then look no further.
Job Type: Full-time",-1,todd morris fire protection,"San Rafael, CA",-1,-1,-1,-1,-1,-1,-1,-1
Assistant Resident Manager I,$25K-$35K (Glassdoor est.),"This position is for a full-time Assistant Resident Manager I to work at Shelter Hill, a 75-unit multi-family affordable housing community in Mill Valley, CA. Qualified candidates will have strong sales experience, an outgoing personality and be able to provide excellent customer service. Qualified candidates will have 1+ years of prior experience in property management. Experience in affordable housing and/or desire to learn affordable housing programs a plus. Salary commensurate to experience.
COMPANY OVERVIEW
EAH Housing has been developing, managing and promoting affordable housing since 1968. We are one of the largest and most respected nonprofit housing development and management organizations in the western United States. With a staff of over 450, EAH develops multi-family communities, manages over 100 properties in California and Hawaii, and plays a leadership role in local, regional and national housing advocacy efforts.
At EAH, we put our core values into action on a daily basis. We recognize that training is a critical investment in the success of our employees and in the continued excellence of EAH. Please visit our website to learn more about our culture and read employee comments to learn more about what it would be like to work at EAH.
For immediate consideration please apply to requisition ASSIS02237 on our website at www.eahhousing.org/careers
POSITION OVERVIEW
The Assistant Resident Manager is responsible for assisting the Property Manager in operation of the site to ensure effective fiscal, physical and social soundness. The Assistant Property Manager takes initiative to seek solutions to problems unique to the complex and assist with employee supervision in a manner requiring minimal supervision from the Property Manager.
RESPONSIBILITIES
Assists with Collecting Rent, Bank Deposits, Preparing and Submitting Rent Roll and Income Verification
Monitors Work Orders and Walks the grounds Daily
Answers Telephone, Files, Prepares Correspondence
Assist Residents with Questions or Problems
Assists with Evictions, Annual Inspections and Repairs
Assist with Re-certifications; Resident Notification, Setting up Appointments, Tracking
QUALIFICATIONS
1+ Year of Affordable Housing Property Management Experience
Knowledge of HUD, TCAC, DFEH and ADA Guidelines
Skilled in Problem Solving and Resident Relations
Strong Computer and Phone Skills
CRIMINAL BACKGROUND CHECK REQUIREMENTS
EAH Housing conducts criminal background checks on all candidates who have received a conditional job offer. Once you have receive such an offer, you will be required to submit and pass our criminal background requirements. Please be advised that certain roles may also require fingerprinting due to legal requirements. If onsite housing is a requirement of the position, any household members over 18 years of age who will be living onsite with the candidate must also undergo a criminal background check and tenant screening. Satisfactory completion of background check and fingerprinting requirements is a requirement of employment with EAH.
BENEFITS
We offer a comprehensive benefits package that includes medical, dental, vision, disability and life insurance, as well as a 403(b) retirement plan with company match. We also offer a generous vacation accrual, holiday schedule and work schedule flexibility.
EAH Housing is an AA/EEO/Veterans/Disabled Employer. CA BRE #00853495 | HI RB-16985",4.1,"EAH Housing
4.1","Mill Valley, CA",-1,201 to 500 Employees,1968,Nonprofit Organization,Real Estate,Real Estate,$25 to $50 million (USD),-1
Music/Worship Director (Bilingual English and Cantonese Required),-1,"The Cantonese Worship/Music Director is primarily responsible for overseeing the worship experience including musical selection and arrangements of weekly worship services and special events at Sunset Chinese Baptist Church. The position is responsible for overseeing the leading, training and development of the worship music teams as well as coordination with other leaders in corporate worship.
Responsibilities
1. Lead music teams for weekly Cantonese Sunday services & special events.
2. Organize and plan for the administration of worship ministries.
3. Provide coaching & music arrangement support for worship team.
4. Collaborate with the production teams.
5. Work with the pastoral team and leaders to carry out the vision of corporate worship and special holiday events.
6. Be available to attend staff & Cantonese ministry meetings, as needed.
The individual should possess the following skills, qualities, and qualifications:
1. Bilingual in Cantonese and English, verbal and written.
2. Demonstrated spiritual maturity in Jesus Christ & Christian commitment.
3. Bachelor’s degree or equivalent in related field.
4. 2 years of experience in leading worship and music ministries in a church.
5. Formal vocal or instrumental training and/or demonstrated musical skills.
6. Exceptional leadership, interpersonal and communications skills.
7. Proven success at multi-tasking, time, project & event management.
8. Self-motivated and be able to work independently with excellence.
9. Ability to work effectively as part of a team to plan, communicate and implement a cohesive church vision and purpose.
10. Ability to be flexible and work well in a changing environment.
Job Type: Part-time
Pay: From $32.00 per hour
Schedule:
8 hour shift
Weekends
COVID-19 considerations:
During the pandemic, staff can work remotely during the week. Staff may be required to work onsite during weekly music recording and live streaming.
Experience:
leading music/worship: 2 years (Preferred)
Language:
Fluent Cantonese (Required)
Education:
Bachelor's (Preferred)
Language:
English and Cantonese (Required)
Application Question:
Are you able to read and write in Traditional Chinese?
Hours per week:
10-19
Company's website:
sunsetchurchsf.org
Work Remotely:
Temporarily due to COVID-19",-1,Sunset Church,"San Francisco, CA",-1,-1,-1,-1,-1,-1,-1,-1
Fresh Warehouse Team - Earn up to $690 a Week,-1,"Warehouse Team Member (Reduced-Time, Part-Time, Flexible Hours)

Shifts:
Early Morning, Day, Evening, Weekend

Location:
455 Valley Drive, Brisbane, CA 94005
Job opportunities vary by location. We update postings daily with open positions.

Salary
Earn $17.25/hr

Immediate openings available now.
Amazon remains open as an essential business to serve our communities delivering critical supplies directly to the doorsteps of people who need them. Find out what Amazon is doing to provide a safe environment for employees at this time on our COVID-19 FAQ page.

Stay active during your shift in this fast-paced warehouse environment. In this job, you’ll work in a small warehouse. This space is different than our other bigger warehouse buildings, it’s more like the size of a grocery store.
Here are some of the things you’ll get to do:
Use smartphone, manage apps, and scan bar codes
Get grocery orders prepared for delivery
Put new grocery inventory away
Check for order quality
Rotate tasks throughout week
Communicate directly with customers both verbally and in writing
Amazon Fresh offers customers everything from cereal to ice cream. This means that you will work in freezer and refrigerated spaces for parts of your shift. It can be cold, but we’ll provide you with the right gear to stay warm!

Candidates must be 18 years or older with the ability to read and speak English for safety purposes.

Reasons you’ll love working here:
Health and safety are a top priority with all of our roles and sites. We continue to consult with medical and health experts, and take all recommended precautions in our buildings and stores to keep people healthy.
Earn more: You can expect a competitive wage and reliable pay check when you work for Amazon.
Reliable hours: We will give you a stable schedule you can count on.
Benefits: Our range of benefits can include health care starting on day one, employee discounts, 401(k) savings plans, paid time off and more! Find out which benefits you'll get after you choose your role with us.
Career development: Many of our entry-level employees become leaders in operations, HR, and other areas. See where your Amazon journey can take you.
Teamwork environment: Work is more fun when you’re part of a great team.



Candidates must be 18 years or older.
Basic qualifications:
High school, GED, or equivalent diploma

Amazon is committed to a diverse and inclusive workplace. Amazon is an equal opportunity employer and does not discriminate on the basis of race, national origin, gender, gender identity, sexual orientation, protected veteran status, disability, age, or other legally protected status. For individuals with disabilities who would like to request an accommodation, please visit https://www.amazon.jobs/en/disability/us.",3.9,"Amazon Workforce Staffing
3.9","San Francisco, CA",-1,10000+ Employees,1994,Company - Public,Internet,Information Technology,$10+ billion (USD),-1
"Physical Therapist, Home Health 1 yr experience San Francisco Licensed",-1,"Must have a license
This is a per-Diem role. ***Looking for a supplementary income position? Rates are per case, NOT per hour***
ABL Health Care, LLC the Home Healthcare agency is seeking an experienced Physical Therapist (PT) for the San Francisco and San Mateo County (Peninsula) areas. By joining our team providing the highest quality experience for patients in the comfort of their own home.
About Us:
Founded and led by two immigrant women nurses, who embarked upon an important journey to help people with better home health care..
We are Medicare certified and Accredited by the Accreditation Commission for Health Care.
Our patients and their families deserve the highest quality care, which we deliver with compassion, professionalism, and excellence.
Our responsive and dedicated team allows you to work remotely and independently, with the flexibility to make your own schedule and plan patient visits around your personal life.
Requirements for Physical Therapist:
· Physical Therapist must have a current California Physical Therapy license
· home health care experience a plus
· willing to visit patients in San Mateo County
The applicant must be a graduate from a physical therapy curriculum approved by (a) The American Physical Therapy Association, (b) The Committee on Allied Health Education and Accreditation of the American Medical Association, or (c) The Council on Medical Education of the American Medical Association and the American Physical Therapy Association.
Preferred Skills for Physical Therapist:
· PT must have excellent oral and written communication skills
· ability to interact effectively with all staff, patients, families and members of the health team
· effective problem-solving skill and good analytical skills
· organized, resourceful, dependable and detail oriented
· working knowledge of computer programs: Word and data entry.
Job Type: Part-time
Experience:
physical therapy: 1 year (Required)
License:
PT (Required)
Job Type: Part-time
Pay: $75.00 - $90.00 per hour
Benefits:
Flexible schedule
Medical Specialty:
Home Health
Schedule:
Day shift
Experience:
Home Health Physical Therapy: 1 year (Required)
License/Certification:
Physical Therapy License (Required)
Work Location:
One location
Hours per week:
10-19
Work Remotely:
No
COVID-19 Precaution(s):
Remote interview process
Personal protective equipment provided or required
Temperature screenings
Social distancing guidelines in place
Virtual meetings
Sanitizing, disinfecting, or cleaning procedures in place",-1,"ABL Health Care, LLC","Daly City, CA",-1,-1,-1,-1,-1,-1,-1,-1
Business Development Manager,$31K-$81K (Glassdoor est.),"Overview:
Kastle Systems is the leader in managed security, with a track record of introducing innovative technologies to serve over 460M square feet of real estate globally. Clients span the commercial and multifamily real estate, education, and construction industries and the customers they serve. With delivering a world class customer experience driving everything we do, Kastle’s mission is to be our customers’ best service provider and to make their security the most effective, efficient, and convenient it can be. Kastle's integrated security solution, including access control, video, and remote video monitoring, significantly reduces costs and improves the critically important 24x7 performance for building owners, developers and tenants.

Kastle Systems, the leader in managed security, is looking for a business development manager who knows what it takes to build strong relationships within the commercial real estate ecosystem: commercial building owners and management companies. With a track record of introducing innovative technologies to serve millions of square feet of multifamily real estate globally, Kastle’s mission is to be our customers’ best service provider and to make their security the most effective, efficient, and convenient it can be.

Our Business Development Manager, Commercial is responsible for prospecting clients and generating new revenue through a consultative sales process that meets revenue targets. You must be a competitive, independent, entrepreneurial sales professional with the ability to identify prospect pain points, articulate the Kastle value proposition, and offer systems and services to meet the client’s needs. Your prospects will be Owners, Developers, Managers, and related stakeholders in the commercial building industry.
Responsibilities:
Initiates conversations and cultivates long-term business relationships with top developers, architects, property management companies, and building owners.
Prospect for new business by developing relationships through cold calling, trade shows, networking, appointment setting, industry associations, referrals and other lead generation techniques.
Clearly articulate “Why Kastle” to various stakeholders within the real estate industry
Partner with internal stakeholders to design security solutions that meet the client’s needs.
Serve as a brand ambassador and subject matter expert for Kastle Systems and its services throughout the multifamily industry.
Remain knowledgeable and up to date on changes and developments in the commercial building industry.
Track and report hot list prospects, new construction, event activity data monthly and quarterly.
Write proposals, conduct presentations, and demonstrate Kastle’s systems, managed services, and value proposition.
Attend and represent Kastle Systems at industry events & trade shows.
Must be self-motivated, highly organized with the ability to prioritize independently while demonstrating a sense of urgency.
Develop and execute upon a detailed business plan to generate sales that meet or exceed established goals
Effectively communicate customer needs through product development and management stakeholders internally
Participate in scheduled internal sales meetings.
Maintain CRM database by inputting leads and updating activity.
Demonstrate enthusiasm, initiative, teamwork, and professionalism.
Qualifications:
5+ years of successful sales experience managing and developing a sales territory
At least one (1) year of sales experience in commercial real estate, property management and/or managed services preferred
Bachelor’s Degree
Demonstrated excellent interpersonal skills required, including verbal and written communication
Prior experience closing sales of complex systems or services with protracted sales cycles.
Experience with CRM Systems, and the ability to learn our proprietary tools and technologies
An entrepreneurial mindset & demonstrated ability to work with little direct supervision.
Other Eligibility Requirements:
Must be able to meet and maintain various certifications, licenses and/or registrations, in accordance with applicable state laws and as required by the electronic security regulations in the state (s) worked.
Must be willing to participate in and pass the company’s pre-employment screening process including a background investigation and drug screening.
Must continue to maintain a safe driving record and valid driver’s license to fulfill the travel requirements of this position.
Equal Opportunity Statement:
Kastle Systems is an Equal Opportunity / Affirmative Action employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, gender, national origin, disability, protected Veteran status or any other characteristic protected by applicable federal or state laws.",3.2,"Kastle Systems
3.2","San Francisco, CA",-1,501 to 1000 Employees,1972,Company - Private,Security Services,Business Services,$100 to $500 million (USD),-1
Outside Sales / Territory Account Manager Wanted (San Francisco / Bay Area),-1,"High Rise Financial is a fast-growing pre-settlement funding company. We are looking for a rock star Outside Sales / Territory Account Manager to join our team remotely in the San Francisco / Bay Area! We are an organization driven by excellence and looking for people who are excited by the opportunity to grow with us!
High Rise Financial offers plaintiff pre-settlement funding, has a network of lien-based doctors, and provides funding for surgery centers/hospitals fees. We take pride in helping our communities.
We are looking for an Outside Sales / Territory Account Manager, who is a natural born hunter, to help us increase our sales revenues and maintain customer relationships in the San Francisco / Bay area. ***NOTE: This territory covers Monterey, Santa Cruz, Santa Clara, San Mateo, Alameda, San Francisco, Contra Costa, Marin, Sonoma & Napa, but you must reside in San Francisco/Bay Area
We are a financially healthy, self-funded company poised for hyper-growth. The position for Outside Sales / Territory Account Manager is an unparalleled career opportunity with a competitive pay, an exceptional commission package and room for growth. Don’t take our word for it. Check out our Google and Yelp reviews and come be a part of our winning team!
RESPONSIBILITIES:
Meeting sales targets to increase revenue.
As an account manager, you will build and maintain relationships with personal injury law firms to expand our attorney referral base.
Take lawyers, paralegals and case managers out to lunches, dinners, and meetings to grow and maintain relationships with personal injury firms.
Attend legal events, legal networking events, and trade shows to meet attorneys and paralegals.
In addition to face-to-face meetings, you will make contacts via inside sales using our CRM sales software.
Maintain records of all sales leads and/or customer accounts.
Educate law firms on how our services can benefit them and their clients.
Exercise diligence in planning, follow-up, and closing deals by working with law firm personnel to facilitate the accumulation and prompt return of requisite documents.
QUALIFICATIONS:
Proven track record of increasing sales and revenue; field sales experience is preferred.
Proven ability to build and maintain relationships, meet goals, and generate results.
Ability to develop sales strategies and use performance KPIs.
Proficient in MS Office and Salesforce is a plus.
Excellent written and verbal communication skills.
Strong Organizational and leadership ability.
Problem-solving aptitude.
High energy, ambitious, and reliable, with a pleasant upbeat personality.
Be an extrovert, who is comfortable creating friendly relationships in social settings.
Ability to think, act and work independently within a fast-paced environment.
Strong organizational, planning, and multitasking skills.
BENEFITS:
Compensation: $55,000.00 to $65,000.00 annually ($24.65-$31.25/hour). This position also comes with commission, $15,000 to $55,000 per year is the practical range, but since we have no cap, exceptional employees can exceed that high mark.
Health, Dental and Vision insurance provided. PPO and HMO options to select from.
Fast growing company with room for growth.
Keywords: outside sales, inside sales, account manager, account manager, outside sales, territory manager, account executive, california, San Francisco, Bay Area, SF, legal, financial services
Job Type: Full-time
Pay: $70,000.00 - $120,000.00 per year
Benefits:
Dental insurance
Health insurance
Paid time off
Vision insurance
Schedule:
Monday to Friday
Supplemental Pay:
Commission pay
COVID-19 considerations:
We do thermal scanning and employees are required to wear masks in the office.
Experience:
Sales Experience: 2 years (Required)
Work Location:
Multiple locations
Paid Training:
Yes
Management:
Ops Manager
This Job Is Ideal for Someone Who Is:
People-oriented -- enjoys interacting with people and working on group projects
Achievement-oriented -- enjoys taking on challenges, even if they might fail
High stress tolerance -- thrives in a high-pressure environment
Company's website:
https://www.highriselegalfunding.com/
Company's Facebook page:
https://www.facebook.com/highriselegalfunding/
Benefit Conditions:
Waiting period may apply
Only full-time employees eligible
Work Remotely:
No
COVID-19 Precaution(s):
Remote interview process",4.6,"High Rise Financial
4.6","San Francisco, CA",-1,1 to 50 Employees,2016,Company - Private,Lending,Finance,Unknown / Non-Applicable,-1
Relocation Specialist,-1,"Job Summary: Working with a Relocation Manager and Project Manager, the Relocation Specialist manages the day to day work involved in the relocation of households at 1005 Powell Street, 1201 Powell/900 Jackson, 1535 Jackson, 289 Ninth Avenue/800 Clement, and 937 Clay Street (180 units) prior to, during, and after rehabilitation of those properties including settling all outstanding claims.
Status: Full-time, Nonexempt, Regular
Location: North Beach neighborhood, San Francisco
Hours: Monday – Friday, 9 AM- 5:30 PM, some nights and weekends
Salary: DOE; Comprehensive benefits
The Organization: A private non-profit founded in 1977, Chinatown Community Development Center believes in a comprehensive vision of community. We own and/or manage approximately 30 affordable housing buildings serving over 3,800 low-income seniors, single adults, formerly homeless adults, and families of diverse ethnic and cultural backgrounds in San Francisco’s Chinatown, Tenderloin, Western Addition, and Polk Gulch neighborhoods. We also build housing, develop grassroots leadership, and engage low-income residents and youth. Our employees are passionate about the mission; thrive in a family organizational culture; and embody values of empowerment, teamwork, and compassion. Chinatown CDC serves a diverse population and is committed to hiring practices that provide culturally competent services. We encourage people of color to apply.
General Job Responsibilities:
Assisting Relocation Manager, Contractor, and Chinatown CDC staff, develop a plan for relocation of residents prior to construction.
Process paperwork needed for relocation, including general information notices, 30-day notices, relocation agreements, per diem requests, and check requests.
Arrange meetings with each resident household with other staff to discuss relocation and proposed unit improvements.
Inspect unit and resident characteristics to assess relocation need. Revise relocation plan as needed.
Arrange for relocation. Secure off-site relocation units, work with staff to prepare on-site units for use as relocation units, assess daily remuneration rates if needed for relocated households, anticipate residents’ needs, schedule transfers of utility services, arrange for packing materials and storage, and schedule moving crews.
Order and distribute packing material.
Be available to deal with residents’ relocation concerns and questions individually as well as at resident meetings, which may be held in evenings or on weekends.
Monitor and assess resident households’ progress in packing for relocation. If needed, arrange for assistance for households to meet schedule.
Act as main contact for moving crew and contractor during relocation process.
Working with Relocation Manager, Contractor, and Chinatown CDC staff, respond to and resolve problems which impact relocation: moving crew mistakes or problems, resident problems, etc.
With Project Manager’s assistance, manage, review, and revise relocation budget
Support Project Manager to assure smooth operation of relocation and construction.
Arrange for translation /interpretation services as needed.
Working with pest inspector and property management staff, assess all units for pests prior to relocation and arrange for pest treatment if identified.
Financial Responsibility and Authority:
Financial:
Help develop, monitor, and maintain the relocation budget
Knowledge, Skills, and Experience:
Consistent attention to detail
Ability to manage multiple deadlines
Strong interpersonal, organizational, analytical, and problem-solving skills
Ability to set boundaries with or maintain cooperative relationships with residents as well as staff and vendors
Ability to work well with residents who are in a potentially stressful temporary transition
Willingness to learn about relocation process and issues and to adhere to legal relocation requirements
Ability to manage and track relocation budget
Ability to communicate and work respectfully with ethnically and socio-economically diverse residents, staff, and external contacts
Capacity to work independently and exercise reasonable judgment
Excellent written and verbal communication skills
Ability to maintain high level of confidentiality
Proficiency in Microsoft Word and Excel on a PC platform with Windows operating system
Minimum Qualifications:
Bachelor's Degree or equivalent experience
Experience with word processing and spreadsheet software
Bilingual/biliterate in Chinese (Cantonese) and English
Requires some evening and weekend work
Preferred Qualifications:
Experience working with seniors and families
Experience working in multi-family housing
Experience working in a dynamic construction environment
Powered by JazzHR
QnpyMukmDw",3.5,"Chinatown Community Development Center
3.5","San Francisco, CA",-1,51 to 200 Employees,-1,Company - Private,Real Estate,Real Estate,$10 to $25 million (USD),-1
Lead Carpenter - Residential Remodeling,-1,"About the role:
We are looking for a Lead Carpenter who will work with the Remote Construction Manager (RCM) to execute the project to the specifications of Skylight's Design Team. They should have a strong background in residential remodeling in the Bay Area, familiar with common problems, materials and building code that specific to the region.
The Lead Carpenter will have a strong grasp of the work-flow of a renovation project, the ability to identify and call out potential issues with site conditions, plans or logistics. On the job site, the Lead Carpenter will be principally responsible for communication and reporting to the RCM, coordinating various trades and may oversee a small crew of junior carpenters or assistants.
Responsibilities:
Perform the demolition and build-out of residential kitchen and bathroom renovation projects according to Skylight plans and specification
Verify site conditions and work with project managers to execute projects according to plans
General demolition of cabinetry, drywall, and other internal structures as needed
Construct, install, and repair structures and fixtures of wood, plywood and wallboard
Install metal and wood framing, using hand and electric tools to cut and fabricate and install framework components (e.g. shower niches)
Install cabinets, trim moldings to match irregular surfaces, measurement and installation of wooden flooring
Install other materials as specified, using hand tools, machines, or power tools
Assemble and fasten materials to make frameworks and props, using hand tools
Hang drywall to ceilings and interior walls
Mudding, sanding and patching of drywall to ensure a smooth or textured wall finish as specified
Job Type: Full-time",5.0,"Skylight
5.0","Tracy, CA",-1,51 to 200 Employees,-1,Company - Public,-1,-1,Less than $1 million (USD),-1
Senior Data Scientist,$118K-$188K (Glassdoor est.),"The Role:

We are seeking an outstanding data scientist interested in working in the hot space of app store data and analytics to join the rapidly growing Data Science team at App Annie. App Annie is pioneering the development of app store analytics on an unprecedented scale, and we need self-driven and motivated performers to join our stellar team. Using advanced data modeling techniques drawn from fields such as statistics, operations research and machine learning, together with incomparable App Annie proprietary data collected from iOS, Android and other platforms, your role is to discover trends, uncover app store application evaluation methodologies, and provide accurate market estimates based on these data. Working closely with Product Management, Engineering and other Data Analysts, you will play a key role helping to drive the creation and delivery of a new generation of exceptional App Annie products, and building and evolving our existing market-leading flagship offerings.

You will:
Gather requirements from Product Managers, and work with Product Management to refine product concepts and implement the data modeling needed to turn them into reality
Support advanced customers requests
Develop the heart of App Annie's products, current and future
Create and customize App Annie models and metrics
Identify relationships within large and seemingly unrelated data
Analyze public data that could be used to complement current and future projects
Understand the entire App Annie system from a data point of view
Deliver robust high quality data products
Identify performance bottlenecks and provide optimization solutions
Create quality indicators and diagnostics tools
You have:
A passion for everything to do with data and already have top-level experience working in data modeling and quantitative analysis
An ability to solve challenging problems and provide innovative practical solutions quickly and efficiently
5 years work experience, including at least 2 years performing data modeling and quantitative analysis, preferably for Internet or technology companies. Experience in financial or medical industries can also be helpful
Excellent data mining skills, including a working knowledge of several of the following statistics packages and languages: Python including scikit-learn, Jupyter, ""R"", SPSS, SAS, Matlab, Mathematica. Analytics databases: Vertica, Sybase IQ, Hadoop, SQL, Hive
A proficiency with Linux OS
Experience with data visualization and dashboard tools is a plus: Tableau Software, Pentaho, Business Objects.
MS or PhD preferred in Statistics, Applied Mathematics, Computer Science, Econometrics or related field
A passion for digital content and mobile apps is a definite plus
The authorization to work in the U.S.
What do we offer?
Competitive compensation.
All the tech tools you need to succeed.
A 401(K) plan to help you plan for your future.
Great health, dental and vision insurance packages to fit your needs to ensure you're happy and healthy.
A yearly fitness stipend that will keep you up and moving.
Commuter benefits that make getting to work a breeze.
Employee referral bonuses so you'll get the opportunity to work with friends (and get some extra cash in your pocket!).
Covid-19

During the Covid-19 Pandemic we've adapted how we support our employees in a number of ways:
Donut Dates - connecting you with someone else in your region once every 2 weeks so you can get to know each other
WFH Equipment Allowance - To ensure you have the best set up in your home office
Productivity Allowance - To keep your home office running
Wellness Sessions - To keep everyone happy and healthy
Virtual Happy Hours and Trivia to keep you connected with your colleagues
Generous PTO that we encourage you to use for your wellbeing to go offline, recharge, and reflect
You will also be taken through a fully digital onboarding process!
About App Annie

App Annie delivers the most trusted app market data and insights for your business to succeed in the global app economy. Over 1 million registered members rely on App Annie to better understand the app market, their businesses and the opportunities around them. The company is headquartered in San Francisco with 450 employees across 15 global offices. App Annie has received $157 million in financing, including from investors such as Sequoia Capital, Institutional Venture Partners, IDG Capital Partners, e.ventures, Greenspring Associates, and Greycroft Partners.

Pursuant to the San Francisco Fair Chance Ordinance, we will consider for employment qualified applicants with arrest and conviction records.",3.9,"App Annie
3.9","San Francisco, CA",-1,201 to 500 Employees,2010,Company - Private,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable,-1
